ACCE_ABSORB_COST	 я«бнЁ «бѕгћ: %d
TOOLTIP_AFFECT_ICECREAM	ё—д «б»жў…\n”—Џ… «б Ќ—я +10\n÷—— +5 %\nќ»—… +10 %	SNA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	√—ж«Ќ (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	√—ж«Ќ дЁн”… (%d/150)	SA
TOOLTIP_AFFECT_LOOTING_SYSTEM	 –я—… «бџднг…	SNA
TOOLTIP_AFFECT_MERCENARY_MAX_ACTIVE_INCREASE	н“нѕ гд «бёѕ—… Џбм «б Ќгшб »гёѕ«— +%d	SA
TOOLTIP_AFFECT_MI_BUFF	Џб«ж… «б≈Ќ б«б: \n%s
TOOLTIP_AFFECT_MOUNT_FALL	 ”ёЎ гд Џбм ўе— «бѕ«»…	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	(Џ«’Ё… џ«÷»…)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	н“нѕ гд  √Ћн— «б—яж»	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	ќ»—… EXP	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	«бг‘н »ќЁ…	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	«бѕё…	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	гд«Џ…	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	ёжн ÷ѕ «бдндћ«
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	ёжн ÷ѕ «б‘«г«д
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	ёжн ÷ѕ «б”ж—«
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	ёжн ÷ѕ «бгЌ«—»
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	ёжн ÷ѕ «ббня«д—
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	≈”ё«Ў «бќ’г	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Ќж«Ё— –ян…	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	ёжн ÷ѕ «бЌнж«д« 
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	ёжн ÷ѕ жЌж‘ “жѕн«я
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	ёжн ÷ѕ жЌж‘ «б’Ќ—«Ѕ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	ёжн ÷ѕ «б‘нЎ«д
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	ёжн ÷ѕ д’Ё »‘—
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	ёжн ÷ѕ «бЌ‘—« 
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	ёжн ÷ѕ «бЎ«∆Ё… «б”—н…
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	ёжн ÷ѕ ћгнЏе« жЌ‘
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	ёжн ÷ѕ «б“жг»н
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	ёжн ÷ѕ «бџнб«д
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	≈—«ѕ… ”ждџ г«ен (Ќнжн…)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	≈—«ѕ… ”ждџ г«ен (–я«Ѕ)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	≈—«ѕ… ”ждџ г«ен (гё«жг…)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	≈—«ѕ… ”ждџ г«ен (ёж…)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	—яж» «бќнб	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	бёѕ  г ќЁ÷ «бЌѕ «б√ё’м бдё«Ў Ќн«… √“гжѕнж” »гёѕ«— %d%%.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	б« нгяд √д  ж÷Џ  Ќ  бЏд… √“гжѕнж” Ён «б≈ѕ«д….	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	н г  ёбнб «б÷—— «бж«ёЏ Џбм «бжЌж‘ »д”»… 30 .	SNA
TOOLTIP_AFFECT_PASWAE	нёбб ”—Џ… «б Ќ—я ж«бѕЁ«Џ бгѕ… 5 Ћж«д.
TOOLTIP_AFFECT_POLYMORPH	 Ќжнб	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	г ћ— ‘ќ’н ггн“	SNA
TOOLTIP_AFFECT_RCAST_SPEED	 ёбб гд жё  «б«” —«Ќ… «б≈ћ»«—н…	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	гё«жг… ÷ѕ √÷—«— «бге«—… +15% | гё«жг… √÷—«— «бећжг +15%	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	≈я”н— «бЏ«бг	SNA
TOOLTIP_AFFECT_RHP_REGEN	б« нгяд «б Џ«Ён	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Џб«ж… гќ“д\n +3 % ќ»—… EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Џб«ж… гќ“д\n+20 ѕЁ«Џ	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Џб«ж… гќ“д\n+1% дёЎ… «бЌн«…	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Џб«ж… гќ“д\n+3% ёж… ÷ѕ «бжЌж‘	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	” Ќ’б Џбм ’дѕжё яд“ ≈÷«Ён ≈–« √ягб  »дћ«Ќ гЏ»ѕ «б√Ё«Џн √ж √Џг«ё «б—н«Ќ «б‘г«бн….	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	” Ќ’б Џбм ’дѕжё яд“ ≈÷«Ён ≈–« е“г  ћ« жд  н—г √ж √ягб  гЏ»ѕ “жѕн«я »дћ«Ќ.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	” Ќ’б Џбм ’дѕжё яд“ ≈÷«Ён Џдѕг«  е“г Ё—Џ«∆нб √ж »н—«д-”н «ж.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	гя«Ё√… «б ёѕг гЏ»ѕ «б√бџ«“ Џб«ж… √: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	гя«Ё√… «б ёѕг гЏ»ѕ «б√бџ«“ Џб«ж… »: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	гя«Ё√… «б ёѕг гЏ»ѕ «б√бџ«“ Џб«ж… ћ: %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Џб«ж… Ўёг гёѕ”…	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Џб«ж… Ўёг ген»…	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Џб«ж… Ўёг Ё«—”н…	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Џб«ж… Ўёг гбян…	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Ўёг «бЏб«ж… Џўнг…	SNA
TOOLTIP_AFFECT_SHACKLE	«бёнжѕ
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	бЏд… ”ждџ г«ен (%d-г—«  гћгЏ…). ” дќЁ÷ дё«Ў Ќн« я »гёѕ«— 10 %% бяб гћгжЏ… жяб 10 Ћ«дн…. нгяд  яѕн”е« Ќ м 10 г—« .	SA
TOOLTIP_AFFECT_SUNGMA_ALL	н“нѕ яб ёнг ”ждџ г«ен »д”»… 10 %.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	≈—«ѕ… ”ждџ г«ен  гб√ «бгя«д.
TOOLTIP_AFFECT_SUNGMA_HP	≈—«ѕ… ”ждџ г«ен - Ќнжн…: %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	н“нѕ ≈—«ѕ… ”ждџ г«ен (Ќнжн…) »гёѕ«— +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	≈—«ѕ… ”ждџ г«ен - –я«Ѕ: %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	н“нѕ ≈—«ѕ… ”ждџ г«ен (–я«Ѕ) »гёѕ«— +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	≈—«ѕ… ”ждџ г«ен - гё«жг…: %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	н“нѕ ≈—«ѕ… ”ждџ г«ен (гё«жг…) »гёѕ«— +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 ≈—«ѕ… ”ждџ г«ен (гё«жг…)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	≈—«ѕ… ”ждџ г«ен - ёж…: %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	н“нѕ ≈—«ѕ… ”ждџ г«ен (ёж…) »гёѕ«— +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 ≈—«ѕ… ”ждџ г«ен (ёж…)	SNA
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Џб«ж… гег… «Ќ Ё«бн… “Џнг «бЏ«бг «бнжгн…\n ёнг… «бећжг +%d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Џб«ж…  — н» «Ќ Ё«бн… “Џнг «бЏ«бг\n ≈”ё«Ў «б»джѕ +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	 г “н«ѕ… «б÷—— «бг”»» Џдѕ жћжѕ дё«Ў  ’днЁ гдќЁ÷….	SNA
TOOLTIP_ANTI_CRITICAL_PCT	гё«жг… ÷ѕ «б÷—»«  «бЌ—ћ… +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	гё«жг… ÷ѕ «б÷—»«  «бќ«—ё… +%d%%	SA
TOOLTIP_ANTI_SELL	б« нгядя »нЏе Ён «бг ћ—.
TOOLTIP_APPLY_ACCEDRAIN_RATE	ёнг… «б«” нЏ«»: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	ёжн ÷ѕ «бЌнж«д«  +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	ёжн ÷ѕ «бдндћ« +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	я”— «бѕЁ«Џ «бћ—”н +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	я”— гё«жг… «б”ег +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	я”— «бѕЁ«Џ «бгќб»н +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	ёжн ÷ѕ жЌж‘ “жѕн«я +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	я”— «бѕЁ«Џ «бќдћ—н +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	ёжн ÷ѕ жЌж‘ «б’Ќ—«Ѕ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	ёжн ÷ѕ «б‘нЎ«д +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	я”— «бѕЁ«Џ «бг—жЌн +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	ёжн ÷ѕ д’Ё »‘— +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	ёжн ÷ѕ «бЌ‘—«  +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	ёжн ÷ѕ «бЎ«∆Ё… «б”—н… +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	ёжн ÷ѕ «бжЌж‘ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	ёжн ÷ѕ «бџнб«д +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	ёжн ÷ѕ ‘«г«д +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	ёжн ÷ѕ ”ж—« +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	я”— «бѕЁ«Џ «б”нЁн +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	я”— ѕЁ«Џ ”нЁ «бнѕнд +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	ёжн ÷ѕ «б“жг»н +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	ёжн ÷ѕ «бгЌ«—» +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	ёжн ÷ѕ «ббшня«д— + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	ећжг гхд“Ё + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	гё«жг… ÷ѕ «бећжг «бгхд“Ё + %d%%	SA
TOOLTIP_APPLY_BLOCK	Ё—’… ’уѕ «бећжг Џд ё—» %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	«” Џ«ѕ… дё«Ў «б«”бж» Ён «бё «б яб 5 Ћж«дн %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Ё—’ «б≈’«»… »÷—»… Ќ—ћ… +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Ё—’ «” Џ«ѕ… дё«Ў «б√”бж» Џдѕ «б≈’«»…	SA
TOOLTIP_APPLY_DODGE	%d%% Ё—’  Ё«ѕн «бећжг »«б”е«г	SA
TOOLTIP_APPLY_ENCHANT_DARK	ёж… «бўб«г +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	ёж… «бўб«г +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	ёж… «б√—÷ +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	ёж… «б√—÷ +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	ёж… «б»—ё +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	ёж… «б»—ё +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	ёж… «бд«— +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	ёж… «бд«— +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	ёж… «бћбнѕ +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	ёж… «бћбнѕ +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	ёж… «б—н«Ќ +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	ёж… «б—н«Ќ +%d%% ~ +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Ё—’ «бЌ’жб Џбм дё«Ў ќ»—… ≈÷«Ён…	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Ё—’ ≈”ё«Ў ÷ЏЁ ягн… «бн«дџ.	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	гхЌ’д ÷ѕ «бд“нЁ	SNA
TOOLTIP_APPLY_IMMUNE_FALL	гхЌ’д ÷ѕ «бжёжЏ	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	гхЌ’д ÷ѕ «б”г	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	«бѕЁ«Џ ÷ѕ «б »«Ўƒ	SNA
TOOLTIP_APPLY_IMMUNE_STUN	ѕЁ«Џ ÷ѕ «б≈џг«Ѕ	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Ё—’ ≈”ё«Ў ÷ЏЁ ягн… «б√‘н«Ѕ.	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Ё—’ «” Џ«ѕ… дё«Ў «бЌн«…	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Ё—’ «” Џ«ѕ… дё«Ў «б√”бж»	SA
TOOLTIP_APPLY_MANA_BURN_PCT	Ё—’ де» дё«Ў «б√”бж» %d%%	SA
TOOLTIP_APPLY_MAX_HP_PCT	дё«Ў «бЌн«… «бё’жм HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	√ё’м MP дё«Ў «б√”бж» +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	гё«жг… ÷ѕ ећжг «бжЌж‘ %d	SA
TOOLTIP_APPLY_NOAFFECT	»ѕжд  √Ћн—
TOOLTIP_APPLY_NO_DEATH_PENALTY	»Џѕ ≈Џ«ѕ… ≈Ќн«Ѕ «бб«Џ» Ён гя«д «бгж ° бд н г ќ’г √н дё«Ў ббќ»—….	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	н√ќ–я «б днд «б√”Ўж—н  Ќ  √ћдЌ е «бЌ«гн…. бд  ќ”— √н дё«Ў ќ»—… ≈–« √Џнѕ «Ќн«ƒя Џбм г д «б”Ёнд….	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Ё—’  Ќ’нб ÷—»… ќ«—ё…	SA
TOOLTIP_APPLY_POISON_PCT	Ё—’… «б ”гг: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	гё«жг… «б”гжг %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	“н«ѕ… Ён  √Ћн— «бћ—Џ… »д”»… %d%%	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% Ё—’ Џя” «ббЏд…	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Ё—’х Џя” ÷—»«  «бећг«  Џд ё—».	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Ё—’ «бѕЁ«Џ ÷ѕ ећжг «бдндћ« %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	ѕЁ«Џ ћ—”н %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	ѕЁ«Џ гќб»н +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	ѕЁ«Џ ќдћ—н %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	ѕЁ«Џ г—жЌн %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	гё«жг… д’Ё «б»‘— %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	гё«жг… «б”ёжЎ +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Ё—’ «бѕЁ«Џ ÷ѕ ећжг «б‘«г«д %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Ё—’ «бѕЁ«Џ ÷ѕ ећжг «б”ж—« %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	ѕЁ«Џ ”нЁн %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	ѕЁ«Џ ”нЁ «бнѕнд %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Ё—’ «бѕЁ«Џ ÷ѕ ећжг «бгЌ«—»нд %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	гё«жг… «б—н«Ќ %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Ё—’ «бѕЁ«Џ ÷ѕ ећжг «ббшня«д— %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Ё—’… «б«” Ё«ѕ… гд «бя »  — ЁЏ »Џ«гб 2,5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	” Ќ’б ≈–« Ё‘б «б шЏбг «бЌ’жб Џбм Ё—’… ≈÷«Ён… б≈Џ«ѕ… «бгЌ«жб….	SNA
TOOLTIP_APPLY_SLOW_PCT	Ё—’ «б »ЎнЅ: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	 ” жЏ» дё«Ў «бЌн«… %d%% гд «б÷——.	SA
TOOLTIP_APPLY_STEAL_SP	 ” жЏ» дё«Ў «б√”бж» %d%% гд «б÷——.	SA
TOOLTIP_APPLY_STUN_PCT	Ё—’ «б≈џг«Ѕ %d%%	SA
TOOLTIP_ARMOR	ѕ—жЏ
TOOLTIP_ARROW	”ег
TOOLTIP_ASSASSIN	дндћ«
TOOLTIP_ATTBONUS_PER_ANIMAL	ёжн ÷ѕ «бЌнж«д«  (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ATTBONUS_PER_CZ	ёжн ÷ѕ жЌж‘ “жѕн«я (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ATTBONUS_PER_DESERT	ёжн ÷ѕ жЌж‘ «б’Ќ—«Ѕ (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	ёжн ÷ѕ «б‘нЎ«д (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	ёжн ÷ѕ д’Ё »‘— (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ATTBONUS_PER_INSECT	ёжн ÷ѕ «бЌ‘—«  (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	ёжн ÷ѕ «бЎ«∆Ё… «б”—н… (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	ёжн ÷ѕ «бжЌж‘ (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ATTBONUS_PER_ORC	ёжн ÷ѕ «бџнб«д (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ATTBONUS_PER_STONE	ёжн ÷ѕ √Ќћ«— «бг« нд (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	ёжн ÷ѕ «б“жг»н (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% ёжн ÷ѕ √Ќћ«— «бг« нд	SA
TOOLTIP_ATT_GRADE	ёнг… «бећжг +%d	SA
TOOLTIP_ATT_SPEED	”—Џ… «бећжг +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	ќЁ÷ ”—Џ… «бећжг	SNA
TOOLTIP_AUTO_PICKUP	бѕня Ё—’… %d%% б√б ё«Ў «б»джѕ гд Ќжбя бгѕ… 30 Ћ«дн…	SA
TOOLTIP_AUTO_POTION_HP	≈я”н— «б‘г”
TOOLTIP_AUTO_POTION_REST	«бягн… «бг »ён…: %.2f%%
TOOLTIP_AUTO_POTION_SP	≈я”н— «бёг—
TOOLTIP_AUTO_POTION_USING	гхЁЏшб
TOOLTIP_AUTO_SYSTEM_PRIMIUM	’нѕ  бё«∆н	SNA
TOOLTIP_BATTLE_POTION	ћ—Џ… ё «б гдЎё… «бгЏ—я…	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	 Ќгшб б« нд ен	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	«— ёЏ  ”—Џ… «б Ќ—я	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	«дќЁ÷  ”—Џ… «б Ќ—я	SNA
TOOLTIP_BOW_DISTANCE	гѕм «б—г«н… +%dm	SA
TOOLTIP_BUYPRICE	«б”Џ—: %s
TOOLTIP_CAST_SPEED	”—Џ… «б”Ќ—: +%d%%	SA
TOOLTIP_CON	ёж… «бЌн«… +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Џб«ж… «б“н %d%%	SA
TOOLTIP_CURSE_OF_ELEMENTAL	бЏд… «бЏд«’— (%dгяѕ”…) ” дќЁ÷ дё«Ў Ќн« я »«” г—«—. нгяд  яѕн”е« Ќ м 10 г—« .	SA
TOOLTIP_DAMAGE_HP_RECOVERY	н” жЏ» «б÷—— »д”»… %d%% гд дё«Ў «бЌн«…	SA
TOOLTIP_DAMAGE_SP_RECOVERY	н” жЏ» «б÷—— »д”»… %d%% гд дё«Ў «б√”бж»	SA
TOOLTIP_DEF_GRADE	ѕЁ«Џ +%d	SA
TOOLTIP_DEX	«бгд«ж—… +%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	Џдѕ «бд“жб Џд ўе— «бѕ«»… ” “ѕ«ѕ ”—Џ… «б Ќ—я »гёѕ«— %d%% бгѕ… 10 Ћж«дн	SA
TOOLTIP_DRAGON_SOUL_DECK1	”г«Ѕ	SNA
TOOLTIP_DRAGON_SOUL_DECK2	√—÷	SNA
TOOLTIP_DS_SET	 √Ћн— Ўёг Ќћ— «б днд	SNA
TOOLTIP_DURATION	«бгѕ…
TOOLTIP_EAR	Ќбё
TOOLTIP_ENCHANT_PER_DARK	ёж… «бўб«г (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ENCHANT_PER_EARTH	ёж… «б√—÷ (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ENCHANT_PER_ELECT	ёж… «б»—ё (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ENCHANT_PER_FIRE	ёж… «бд«— (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ENCHANT_PER_ICE	ёж… «бћбнѕ (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ENCHANT_PER_WIND	ёж… «б—н«Ќ (+%d%% «бёнг… «б≈ћг«бн…)	SA
TOOLTIP_ENERGY	Ў«ё… %d	SA
TOOLTIP_ETC	≈бќ.
TOOLTIP_EXP_BONUS_EVENT	ќ»—… EXP +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5. ≈÷«Ё… Џб«ж… +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1. ≈÷«Ё… Џб«ж… +%d%%	SA
TOOLTIP_FISHINGROD_EXP	дё«Ў: %d / %d
TOOLTIP_FISHINGROD_LEVEL	г” жм: %d
TOOLTIP_FISHINGROD_UPGRADE1	«гдЌе бб’н«ѕ
TOOLTIP_FISHINGROD_UPGRADE2	бян  Ќ’б Џбм
TOOLTIP_FISHINGROD_UPGRADE3	’д«—… ’нѕ √Ё÷б »яЋн—.
TOOLTIP_FISH_LEN	«бЎжб: %.2fcm
TOOLTIP_FLOWER_EVENT_SHOOT_ENVELOPE	»–ж— “е—…
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4. ≈÷«Ё… Џб«ж… +%d%%	SA
TOOLTIP_GLOVE	ёЁ«“« 
TOOLTIP_GUILD_SKILL_ACCEL	 ”—нЏ +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	»—я… «б днд «б√”Ўж—н +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	ѕг «б днд «б√”Ўж—н +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	џ÷» «б днд «б√”Ўж—н +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	г”«Џѕ… «б”Ќ— +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	ѕ—жЏ гёѕ”… +%d	SA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% EXP ќ»—… | +5% ≈”ё«Ў «б»джѕ | +10% ёж… ÷ѕ «бжЌж‘	SNA
